DATE,TOTAL CASES,BLACK CASES,HISPANIC CASES,WHITE CASES,BLACK CI,HISPANIC CI,WHITE CI,population
2020-06-17,1127936.0,176855.0,301517.0,354711.0,18614.0,27618.0,6744.0,207952830
2020-06-22,1282652.0,188968.0,331231.0,364858.0,19927.0,29584.0,6867.0,207952830
2020-06-26,1372839.0,200971.0,356553.0,386845.0,20992.0,32061.0,7341.0,207952830
2020-06-30,1509432.0,212814.0,385800.0,421089.0,21913.0,34239.0,8025.0,207952830
2020-07-02,1560320.0,200771.0,358041.0,413511.0,21462.0,33125.0,7901.0,207952830
2020-07-07,1737912.0,239292.0,429952.0,476503.0,24118.0,36575.0,8938.0,207952830
2020-07-10,1858848.0,257120.0,459479.0,518107.0,25566.0,39159.0,9661.0,207952830
2020-07-14,2015020.0,270464.0,486229.0,552077.0,26636.0,40030.0,10266.0,207952830
2020-07-17,2146647.0,289376.0,515035.0,594098.0,27906.0,41699.0,11082.0,207952830
2020-07-21,2324965.0,305062.0,552448.0,631447.0,29295.0,43580.0,11664.0,207952830
2020-07-24,2448320.0,329137.0,578669.0,688203.0,30970.0,45091.0,12852.0,207952830
2020-07-28,2643298.0,335384.0,590217.0,712492.0,31518.0,45469.0,13301.0,207952830
2020-07-31,2750104.0,355559.0,652341.0,771948.0,33319.0,49274.0,14349.0,207952830
2020-08-04,2894416.0,374455.0,675574.0,810147.0,34345.0,51037.0,15078.0,207952830
2020-08-07,2991365.0,365632.0,701500.0,830749.0,33729.0,53929.0,15530.0,207952830
2020-08-11,3128353.0,417346.0,756734.0,918523.0,37565.0,54791.0,17254.0,207952830
2020-08-14,3135466.0,436387.0,822019.0,933529.0,38807.0,64623.0,17787.0,207952830
2020-08-18,3360759.0,453144.0,820129.0,1029080.0,40296.0,58085.0,19165.0,207952830
2020-08-21,3225561.0,467830.0,821921.0,1078756.0,41644.0,55346.0,20177.0,207952830
2020-08-25,3546110.0,472755.0,875596.0,1116607.0,42077.0,60223.0,20857.0,207952830
2020-08-28,3632124.0,473296.0,868308.0,1115284.0,42395.0,59893.0,20872.0,207952830
2020-09-01,3734708.0,499036.0,858482.0,1098480.0,43319.0,58070.0,20823.0,207952830
2020-09-04,3799977.0,510054.0,902343.0,1227743.0,44926.0,63638.0,23124.0,207952830
2020-09-08,3893226.0,521051.0,962189.0,1274265.0,45773.0,65088.0,23951.0,207952830
2020-09-11,3951746.0,529132.0,976865.0,1307738.0,46470.0,66153.0,24633.0,207952830
2020-09-15,4053325.0,539694.0,966594.0,1358637.0,47469.0,68362.0,25680.0,207952830
2020-09-18,4117741.0,527834.0,978090.0,1330690.0,46756.0,66445.0,24930.0,207952830
2020-09-22,4221464.0,558895.0,1039951.0,1447823.0,49315.0,71126.0,27469.0,207952830
